0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,pond
3.7938466,-0.3377443,-0.6588867,3.8808267,-0.05919278,-2.9723597,0.5995224,3.5674465,0.015717031,0.31096858,-2.200394,0.10759832,1.6704395,2.669122,-1.8470951,1.5552353,-0.8258508,-2.2667801,0.36414787,3
2.3332775,-0.5433564,4.484614,-0.002590051,-0.22061749,-0.08925092,0.6410681,4.410147,-0.74366504,2.222744,-0.40662208,2.502004,1.0680071,0.6532631,0.10274276,-0.39498577,5.225422,-2.708572,0.6393142,4
3.4613748,-2.7483835,-0.51995564,1.330331,-1.3726512,-1.6119676,2.5510552,0.16921175,-1.9472791,2.9528158,-1.1277976,0.9618701,-1.0680195,-0.67862856,1.2030087,3.0688148,0.984641,-1.4720768,-0.94750917,4
1.680998,0.73675394,3.2375424,-1.8140874,-3.797424,0.16803566,0.770863,1.9689809,-0.24661002,4.2335706,-0.7154099,-1.3404804,1.2386897,2.361373,0.95453894,-2.7541687,1.3252628,-4.2221813,-0.23433027,2
1.242618,-0.5532164,2.9158165,-1.1195749,-2.8419933,-1.6077719,3.0313802,2.8392074,-2.2556875,2.5069637,-1.5327755,0.18282619,2.9264395,0.67167735,0.725513,1.2835509,0.6622235,-1.2650772,-0.15725406,1
4.520052,0.7866278,2.0224328,-0.41326094,2.172957,-0.49639335,-1.7826359,1.7784876,3.282306,4.582444,1.474749,-5.055641,-1.2385159,2.8905659,-2.8273835,1.1233276,3.4368868,-5.4166217,3.0210779,0
1.0241027,0.27053085,1.1802976,-2.2536652,-3.526725,-3.5643554,0.8219782,1.731704,-0.6204524,3.8394864,0.45330876,0.9094607,1.716887,-0.41370383,-1.1461883,-1.3778201,4.80597,-1.0928828,-0.63011605,0
-0.07806672,-1.9182738,2.9867277,-1.0536538,-2.8495774,-3.2660434,-0.29005456,0.4697163,1.4812465,6.603517,1.1201057,2.4046924,3.3818402,-0.5115669,1.0110168,1.7854382,1.837492,1.2983953,-0.545149,2
0.86379987,-0.34469366,-0.47954157,0.20197225,-3.2139091,-4.6129017,2.782887,7.3320613,-2.4267466,-1.3664598,-1.5329524,1.3969556,2.5782094,-5.313329,-5.0834355,4.1000037,4.81261,-0.57732755,1.9465717,3
3.4772067,-1.6496991,-0.88463485,4.898407,0.45977113,-1.0223342,2.2663517,1.350314,1.0071009,0.3492958,-0.071851864,0.54694664,4.5263515,-0.3315914,-0.68414307,2.4767058,-2.0716417,0.2894237,1.581532,2
0.79738986,2.2204397,0.11277422,-0.122508205,-3.5066967,-3.2366753,0.041411314,3.197961,-4.5832314,0.25980437,-1.0266032,0.78103465,2.3642192,-0.020146418,-3.5251827,0.31259257,4.102319,0.76912445,1.492812,0
2.3801162,0.17837538,2.37478,-3.336917,-1.8741108,-0.12547557,1.2528877,3.156214,0.67342085,4.099977,1.2400577,-1.7665513,-0.24639875,2.9601321,-1.9470525,-0.10912958,1.1964386,-2.1246066,0.4851923,0
