# Constructed from biom file
#OTU ID,S12.143.H2O.S12,S16.146.H2O.S16,S19.149.H2O.S19,S23.152.H2O.S23,S26.155.H2O.S26,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,17.0,49.0,0.0,29.0,633.0,83.0,1309.0,926.0,39.0,587.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae,0.0,122.0,6.0,15.0,49.0,29.0,24.0,14.0,30.0,50.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,0.0,41.0,0.0,0.0,11.0,0.0,30.0,65.0,106.0,34.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae,14.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,12.0,96.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__cvE6,21.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae,57.0,25.0,0.0,2.0,61.0,24.0,15.0,31.0,0.0,25.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae,9.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae,14.0,0.0,4.0,20.0,29.0,28.0,20.0,0.0,0.0,17.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae,25.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,2.0,23.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae,31.0,2.0,790.0,146.0,4.0,309.0,28.0,3.0,73.0,284.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,256.0,121.0,69.0,100.0,35.0,181.0,182.0,15.0,43.0,174.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__uncultured;f__uncultured,21.0,0.0,85.0,154.0,475.0,331.0,65.0,31.0,3.0,4.0
