# Constructed from biom file
#OTU ID,S8.127.H2O.S8,S14.130.H2O.S14,S18.133.H2O.S18,S24.136.H2O.S24,S29.139.H2O.S29,S11.187.H2O.S11,S15.190.H2O.S15,S22.193.H2O.S22,S25.196.H2O.S25,S31.199.H2O.S31
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,21.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,0.0,12.0,0.0,11.0,21.0,11.0,0.0,6.0,0.0,19.0
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae,0.0,0.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,534.0,479.0,375.0,369.0,184.0,1141.0,708.0,408.0,1140.0,1161.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae,60.0,127.0,0.0,0.0,0.0,44.0,278.0,171.0,6.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured,0.0,4.0,0.0,0.0,0.0,0.0,134.0,0.0,5.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae,0.0,18.0,0.0,13.0,16.0,55.0,10.0,25.0,130.0,55.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae,0.0,0.0,0.0,0.0,0.0,13.0,47.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae,216.0,2.0,0.0,75.0,40.0,76.0,52.0,30.0,527.0,251.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae,266.0,93.0,28.0,72.0,34.0,22.0,170.0,76.0,232.0,180.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae,0.0,0.0,0.0,0.0,0.0,26.0,0.0,21.0,45.0,31.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,318.0,208.0,25.0,413.0,270.0,669.0,327.0,461.0,764.0,906.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group,75.0,48.0,27.0,65.0,0.0,58.0,30.0,8.0,54.0,30.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767,0.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__LiUU-11-161,0.0,0.0,24.0,0.0,0.0,0.0,25.0,0.0,14.0,21.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group,10.0,43.0,0.0,10.0,0.0,34.0,89.0,41.0,111.0,142.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae,2.0,48.0,0.0,36.0,0.0,23.0,14.0,0.0,51.0,42.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17,14.0,21.0,12.0,0.0,0.0,73.0,0.0,5.0,56.0,11.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales,0.0,20.0,0.0,12.0,0.0,421.0,167.0,15.0,0.0,180.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae,0.0,0.0,0.0,16.0,0.0,0.0,0.0,13.0,51.0,20.0
