,feature_name,feature_number,test_loss,test_acc
67,K00012,7,0.3416760265827179,0.8421052694320679
68,K00012,8,0.3411520719528198,0.8421052694320679
69,K00012,9,0.3423125743865967,0.8421052694320679
70,K00013,0,0.3398113548755646,0.8421052694320679
71,K00013,1,0.34038496017456055,0.8421052694320679
72,K00013,2,0.33905163407325745,0.8421052694320679
73,K00013,3,0.339787095785141,0.8421052694320679
74,K00013,4,0.3409952223300934,0.8421052694320679
75,K00013,5,0.3402911126613617,0.8421052694320679
76,K00013,6,0.339268296957016,0.8421052694320679
77,K00013,7,0.33896422386169434,0.8421052694320679
78,K00013,8,0.33939996361732483,0.8421052694320679
79,K00013,9,0.3396637439727783,0.8421052694320679
80,K00014,0,0.34133511781692505,0.8421052694320679
81,K00014,1,0.34102311730384827,0.8421052694320679
82,K00014,2,0.3414663076400757,0.8421052694320679
83,K00014,3,0.34165897965431213,0.8421052694320679
84,K00014,4,0.34161436557769775,0.8421052694320679
85,K00014,5,0.3415403366088867,0.8421052694320679
86,K00014,6,0.34184530377388,0.8421052694320679
87,K00014,7,0.34114640951156616,0.8421052694320679
88,K00014,8,0.341543585062027,0.8421052694320679
89,K00014,9,0.3415193259716034,0.8421052694320679
90,K00016,0,0.3407491445541382,0.8421052694320679
91,K00016,1,0.34073665738105774,0.8421052694320679
92,K00016,2,0.3409486413002014,0.8421052694320679
93,K00016,3,0.3407236337661743,0.8421052694320679
94,K00016,4,0.34085813164711,0.8421052694320679
95,K00016,5,0.3407118320465088,0.8421052694320679
96,K00016,6,0.3407219648361206,0.8421052694320679
97,K00016,7,0.34077006578445435,0.8421052694320679
98,K00016,8,0.3410148620605469,0.8421052694320679
99,K00016,9,0.34088563919067383,0.8421052694320679
100,K00018,0,0.3413980007171631,0.8421052694320679
101,K00018,1,0.34125834703445435,0.8421052694320679
102,K00018,2,0.340792715549469,0.8421052694320679
103,K00018,3,0.3408142626285553,0.8421052694320679
104,K00018,4,0.3416629433631897,0.8421052694320679
105,K00018,5,0.3404270112514496,0.8421052694320679
106,K00018,6,0.34117990732192993,0.8421052694320679
107,K00018,7,0.3410436809062958,0.8421052694320679
108,K00018,8,0.3410167694091797,0.8421052694320679
109,K00018,9,0.34129220247268677,0.8421052694320679
110,K00019,0,0.34062567353248596,0.8421052694320679
111,K00019,1,0.3406946659088135,0.8421052694320679
112,K00019,2,0.340623140335083,0.8421052694320679
113,K00019,3,0.34062740206718445,0.8421052694320679
