,feature,shapiro_pval,shapiro_pval_log,shapiro_pval_exp,tt_pval
50,50,1.7073089158257428e-14,1.6431524381150392e-14,1.758509346981834e-14,
51,51,3.0318457121450056e-19,3.0318457121450056e-19,3.0318457121450056e-19,
52,52,3.8553292151008334e-20,3.175306295342977e-20,4.515861691675409e-20,
53,53,4.9238499495651504e-21,4.8897376350265744e-21,4.945846572289882e-21,
54,54,8.679856803244523e-18,8.125125496228699e-18,9.14681432110112e-18,
55,55,1.0914187740304041e-20,1.0914187740304041e-20,1.0914187740304041e-20,
56,56,1.1160997392132069e-13,6.743879136768618e-14,1.6383885892944094e-13,
57,57,3.2214282352782675e-09,2.1056589805112935e-09,4.288379429340239e-09,
58,58,2.4995966054917014e-19,2.459824727664386e-19,2.527666204096864e-19,
59,59,1.202446213710573e-07,1.2566063389840565e-07,1.1186930493067848e-07,
60,60,1.5826161359200341e-07,1.181118349791177e-07,1.9166547815530066e-07,
61,61,1.0,1.0,1.0,0.0
62,62,3.535816483233521e-16,3.535816483233521e-16,3.535816483233521e-16,
63,63,7.133799162920648e-18,6.5561934168355885e-18,7.594823314243403e-18,
64,64,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
65,65,1.7117770146225092e-14,1.676327330527201e-14,1.7291606717990092e-14,
66,66,1.1678760172481595e-13,1.171554037593045e-13,1.161421219614267e-13,
67,67,2.642288970949055e-22,2.642288970949055e-22,2.642288970949055e-22,
68,68,1.0,1.0,1.0,0.0
69,69,1.0,1.0,1.0,0.0
70,70,1.0,1.0,1.0,0.0
71,71,1.0,1.0,1.0,0.0
72,72,2.7011702052470243e-21,2.7011702052470243e-21,2.7011702052470243e-21,
73,73,1.0,1.0,1.0,0.0
74,74,1.0,1.0,1.0,0.0
75,75,1.857159716810164e-14,1.8101153375130706e-14,1.884489234853324e-14,
76,76,1.0,1.0,1.0,0.0
77,77,4.828010888757901e-14,4.694864424526282e-14,4.908520353954886e-14,
78,78,1.0,1.0,1.0,0.0
79,79,2.7011702052470243e-21,2.7011702052470243e-21,2.7011702052470243e-21,
80,80,1.0,1.0,1.0,0.0
81,81,1.0,1.0,1.0,0.0
82,82,1.0,1.0,1.0,0.0
83,83,1.9861511236193174e-21,1.984471720793636e-21,1.984904900093911e-21,
84,84,6.529307310614149e-15,6.125999772559065e-15,6.856508938358433e-15,
85,85,2.7011702052470243e-21,2.7011702052470243e-21,2.7011702052470243e-21,
86,86,2.3185174297075473e-15,2.322895319495431e-15,2.2969850051553957e-15,
87,87,1.0,1.0,1.0,0.0
88,88,1.0,1.0,1.0,0.0
89,89,1.4125604993028932e-20,1.4125604993028932e-20,1.4125604993028932e-20,
90,90,1.0,1.0,1.0,0.0
91,91,2.964717420496913e-20,2.964717420496913e-20,2.964717420496913e-20,
92,92,4.0503822809499587e-20,3.9931320121559126e-20,4.09456277294824e-20,
93,93,1.0,1.0,1.0,0.0
94,94,4.400612293726895e-14,4.236676181862582e-14,4.5304004417292404e-14,
95,95,1.1495372647785768e-16,1.128154447420734e-16,1.1619032840639996e-16,
96,96,1.0,1.0,1.0,0.0
97,97,5.076431506737368e-16,4.985009123157844e-16,5.124212635291983e-16,
98,98,1.0,1.0,1.0,0.0
99,99,1.0,1.0,1.0,0.0
100,100,1.1492361710356075e-16,1.1492361710356075e-16,1.1492361710356075e-16,
101,101,1.4257113513792166e-15,1.3164409248098597e-15,1.508984219214971e-15,
102,102,1.0,1.0,1.0,0.0
103,103,1.0,1.0,1.0,0.0
104,104,7.105587961334374e-19,6.969700281267811e-19,7.205437967051416e-19,
105,105,1.0,1.0,1.0,0.0
106,106,2.964691247985344e-20,2.964691247985344e-20,2.964691247985344e-20,
107,107,1.0,1.0,1.0,0.0
108,108,1.0,1.0,1.0,0.0
109,109,5.9608237603008e-20,5.9608237603008e-20,5.9608237603008e-20,
110,110,1.5073824133349234e-10,1.4511920831683511e-10,1.5288036114835535e-10,
111,111,1.857159716810164e-14,1.8101153375130706e-14,1.884489234853324e-14,
112,112,2.7011702052470243e-21,2.7011702052470243e-21,2.7011702052470243e-21,
113,113,1.0,1.0,1.0,0.0
114,114,9.587723301082964e-19,9.471830127385456e-19,9.653665105539925e-19,
115,115,1.0,1.0,1.0,0.0
116,116,1.4125228561226735e-20,1.4125228561226735e-20,1.4125228561226735e-20,
117,117,1.0,1.0,1.0,0.0
118,118,7.627268261423126e-10,6.921486161992618e-10,8.130925377436427e-10,
119,119,2.7011702052470243e-21,2.7011702052470243e-21,2.7011702052470243e-21,
120,120,1.0,1.0,1.0,0.0
121,121,5.834808610092028e-20,5.859583961907698e-20,5.79804301680346e-20,
122,122,3.371111124177761e-22,3.371111124177761e-22,3.371111124177761e-22,
123,123,1.8909433492808603e-05,1.81055256689433e-05,1.7533338905195706e-05,
124,124,1.0,1.0,1.0,0.0
125,125,2.8923344275177953e-10,2.7029140037271304e-10,3.0151334207140223e-10,
