,feature,shapiro_pval,shapiro_pval_log,shapiro_pval_exp,tt_pval
29,29,1.3607217397293425e-06,1.148303567788389e-06,1.501129190728534e-06,
30,30,7.747158292659151e-07,8.410302143602166e-07,6.989560006331885e-07,
31,31,0.00039144977927207947,0.0001742378226481378,0.0006177644245326519,
32,32,2.1531196964241772e-11,2.0895493668682263e-11,2.1917759274181492e-11,
33,33,6.449593456636649e-06,3.8605162444582675e-06,8.69412633619504e-06,
34,34,4.588946467265487e-05,2.5962432118831202e-05,6.434664828702807e-05,
35,35,2.0031273799511924e-14,2.0031273799511924e-14,2.0031273799511924e-14,
36,36,5.263331708829194e-17,5.263331708829194e-17,5.263331708829194e-17,
37,37,1.9442127552338206e-07,1.9483509561268875e-07,1.8781486232910538e-07,
38,38,6.342375715363716e-16,6.342375715363716e-16,6.342375715363716e-16,
39,39,5.722983898387968e-18,5.722983898387968e-18,5.722983898387968e-18,
40,40,6.813570507802069e-05,5.237774530542083e-05,7.637820817762986e-05,
41,41,5.735731519962428e-06,6.6620841607800685e-06,4.659635578718735e-06,
42,42,1.0,1.0,1.0,0.0
43,43,1.4456014849257605e-14,1.4456014849257605e-14,1.4456014849257605e-14,
44,44,3.0849090643103594e-11,3.073158394428788e-11,3.062007938869904e-11,
45,45,2.2300607202345966e-14,2.2425248100534437e-14,2.2161070382747082e-14,
46,46,0.001164942397736013,0.0005712310085073113,0.0016362109454348683,
47,47,5.381226841905118e-08,4.08614795333051e-08,6.578428468628772e-08,
48,48,9.414658848072577e-07,1.33179548811313e-06,6.743798621755559e-07,
49,49,1.6623177761565294e-16,1.6623177761565294e-16,1.6623177761565294e-16,
50,50,2.7703479645424522e-05,4.374491618364118e-05,1.7876433048513718e-05,
51,51,5.7933185158842715e-12,5.842951990298051e-12,5.6969815150076375e-12,
52,52,0.000868873146828264,0.0009556700242683291,0.0006563551141880453,
53,53,2.1143214606954112e-14,2.04761914075844e-14,2.165985727093419e-14,
54,54,6.150233957669116e-07,6.129417897682288e-07,5.952646802143136e-07,
55,55,4.3544915229176695e-08,3.025752448593266e-08,5.67561428965746e-08,
56,56,1.8072918237521662e-06,2.157700237148674e-06,1.4987333543103887e-06,
57,57,0.0008023175178095698,0.0006719372468069196,0.000786741089541465,
58,58,4.558220053035682e-14,4.476443087736426e-14,4.614030037490731e-14,
59,59,0.00022231668117456138,0.00023779225011821836,0.00018276716582477093,
60,60,0.0021742696408182383,0.0013882872881367803,0.002181363757699728,
61,61,7.182373451541935e-08,5.265838964874092e-08,8.890592084753735e-08,
62,62,9.103396223508753e-06,5.587559826381039e-06,1.259019427379826e-05,
63,63,7.64772339607589e-05,0.00013896526070311666,4.160913886153139e-05,
64,64,3.848366304737283e-06,4.174235527898418e-06,3.3235596674785484e-06,
65,65,1.3365476661419962e-05,1.2355222679616418e-05,1.3226062947069295e-05,
66,66,5.1152673208321175e-09,5.4436366525578705e-09,4.745110082637893e-09,
67,67,5.0604733077552755e-12,5.1132019625310665e-12,4.971214846022365e-12,
